COLLEGE,DEPT,SSTS,CRN,COURSE,SEC,TITLE,PT TRM,CR,DAYS,TIME,LOCATION,SCD OVR,SD,INSM,IP,INSTRUCTOR,PRIMARY,% RESPONSE,SAPR,FEE,FEE DETL,MAX CAP,TERMS
College of Arts and Sciences,BLY,A,10300,BLY121L,106,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10300,BLY121L,106,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10301,BLY121L,107,General Biology I Lab,1,1.0,R,0930  1200,LSCB 0225,,BE,WE,C,STAFF,,,,38.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10301,BLY121L,107,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10301,BLY121L,107,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10302,BLY121L,108,General Biology I Lab,LC1,1.0,R,1230  1500,LSCB 0225,,BE,WE,C,STAFF,,,,38.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10302,BLY121L,108,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10302,BLY121L,108,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10303,BLY121L,109,General Biology I Lab,LC1,1.0,R,1530  1800,LSCB 0225,,BE,WE,C,STAFF,,,,38.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10303,BLY121L,109,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10303,BLY121L,109,scheduled times.,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,11733,BLY121L,110,General Biology I Lab,1,1.0,T,0800  1030,LSCB 0043,,BE,WE,C,STAFF,,,,38.00,EBLY,24,0
College of Arts and Sciences,BLY,A,11733,BLY121L,110,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,11733,BLY121L,110,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,12987,BLY121L,112,General Biology I Lab,1,1.0,T,1400  1630,LSCB 0043,,BE,WE,C,STAFF,,,,38.00,EBLY,24,0
College of Arts and Sciences,BLY,A,12987,BLY121L,112,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,12987,BLY121L,112,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,13379,BLY121L,113,General Biology I Lab,1,1.0,W,1325  1555,LSCB 0043,,BE,WE,C,STAFF,,,,38.00,EBLY,24,0
College of Arts and Sciences,BLY,A,13379,BLY121L,113,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,13379,BLY121L,113,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,14593,BLY121L,114,General Biology I Lab,1,1.0,R,1100  1330,LSCB 0043,,BE,WE,C,STAFF,,,,38.00,EBLY,0,0
College of Arts and Sciences,BLY,A,14593,BLY121L,114,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,14593,BLY121L,114,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10619,BLY121L,501,General Biology I Lab,1,1.0,T,1800  2030,LSCB 0225,,BE,WE,C,STAFF,,,,38.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10619,BLY121L,501,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10619,BLY121L,501,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,11742,BLY121L,502,General Biology I Lab,1,1.0,W,1800  2030,LSCB 0225,,BE,WE,C,STAFF,,,,38.00,EBLY,24,0
College of Arts and Sciences,BLY,A,11742,BLY121L,502,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,11742,BLY121L,502,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,12343,BLY121L,503,General Biology I Lab,1,1.0,R,1815  2045,LSCB 0225,,BE,WE,C,STAFF,,,,38.00,EBLY,24,0
College of Arts and Sciences,BLY,A,12343,BLY121L,503,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,12343,BLY121L,503,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,13887,BLY121L,505,General Biology I Lab,1,1.0,R,1800  2030,LSCB 0043,,BE,WE,C,STAFF,,,,38.00,EBLY,24,0
College of Arts and Sciences,BLY,A,13887,BLY121L,505,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,13887,BLY121L,505,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10674,BLY122,101,General Biology II,1,3.0,TR,0800  0915,LSLH 0003,,LE,WE,C,L Frost,Y,100,,,,155,0
College of Arts and Sciences,BLY,A,10674,BLY122,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10674,BLY122,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10306,BLY122,501,General Biology II,1,3.0,W,1800  2030,LSLH 0003,,LE,WE,C,A Littlepage,Y,100,,,,155,0
College of Arts and Sciences,BLY,A,10306,BLY122,501,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10306,BLY122,501,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,14967,BLY122,801,General Biology II,1,3.0,TBA,TBA  TBA,WEB WEB,,W,WO,C,N Hilbun,Y,100,,,,50,0
College of Arts and Sciences,BLY,A,14967,BLY122,801,FULLY ONLINE SECTION. This course is offered via Internet,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,14967,BLY122,801,only and has no scheduled times. USAonline courses are,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,14967,BLY122,801,offered in Canvas.,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,14967,BLY122,801,Additional fees may result from online proctoring services.,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,10547,BLY122L,101,General Biology II Laboratory,1,1.0,T,0930  1200,LSCB 0226,,BE,WE,C,J Borden,Y,100,,40.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10547,BLY122L,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10547,BLY122L,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10683,BLY122L,102,General Biology II Laboratory,1,1.0,T,1230  1500,LSCB 0226,,BE,WE,C,STAFF,,,,40.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10683,BLY122L,102,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10683,BLY122L,102,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10685,BLY122L,103,General Biology II Laboratory,1,1.0,W,0800  1030,LSCB 0226,,BE,WE,C,STAFF,,,,40.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10685,BLY122L,103,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10685,BLY122L,103,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,11547,BLY122L,104,General Biology II Laboratory,1,1.0,W,1115  1345,LSCB 0226,,BE,WE,C,STAFF,,,,40.00,EBLY,24,0
College of Arts and Sciences,BLY,A,11547,BLY122L,104,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,11547,BLY122L,104,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,12344,BLY122L,105,General Biology II Laboratory,1,1.0,W,1430  1700,LSCB 0226,,BE,WE,C,J Borden,Y,100,,40.00,EBLY,24,0
College of Arts and Sciences,BLY,A,12344,BLY122L,105,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,12344,BLY122L,105,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,13981,BLY122L,106,General Biology II Laboratory,1,1.0,R,0930  1200,LSCB 0226,,BE,WE,C,J Borden,Y,100,,40.00,EBLY,24,0
College of Arts and Sciences,BLY,A,13981,BLY122L,106,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,13981,BLY122L,106,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,14596,BLY122L,107,General Biology II Laboratory,1,1.0,R,1230  1500,LSCB 0226,,BE,WE,C,STAFF,,,,40.00,EBLY,24,0
College of Arts and Sciences,BLY,A,14596,BLY122L,107,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,14596,BLY122L,107,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,15082,BLY122L,108,General Biology II Laboratory,1,1.0,T,1530  1800,LSCB 0226,,BE,WE,C,STAFF,,,,40.00,EBLY,24,0
College of Arts and Sciences,BLY,A,15082,BLY122L,108,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,15082,BLY122L,108,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10307,BLY122L,501,General Biology II Laboratory,1,1.0,R,1800  2030,LSCB 0226,,BE,WE,C,J Borden,Y,100,,40.00,EBLY,24,0
College of Arts and Sciences,BLY,A,10307,BLY122L,501,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10307,BLY122L,501,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10308,BLY207,801,Biology of Aging,1,3.0,TBA,TBA  TBA,WEB WEB,,W,WO,C,L Russell,Y,100,,,,10,0
College of Arts and Sciences,BLY,A,10308,BLY207,801,FULLY ONLINE SECTION. This course is offered via Internet,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10308,BLY207,801,only and has no scheduled times. USAonline courses are,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10308,BLY207,801,offered in Canvas.,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,13034,BLY213,101,Microbiology,1,3.0,TR,0930  1045,LSLH 0003,,LE,WE,C,T Hamil,Y,100,,,,155,0
College of Arts and Sciences,BLY,A,13034,BLY213,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,13034,BLY213,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,15097,BLY213,805,Microbiology,1,3.0,TBA,TBA  TBA,WEB WEB,,W,WO,C,T Hamil,Y,100,,,,65,0
College of Arts and Sciences,BLY,A,15097,BLY213,805,FULLY ONLINE SECTION. This course is offered via Internet,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,15097,BLY213,805,only and has no scheduled times. USAonline courses are,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,15097,BLY213,805,offered in Canvas.,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,15098,BLY214,802,Lab Studies Microbiology,1,1.0,TBA,TBA  TBA,WEB WEB,,W,WO,C,T Hamil,Y,100,,,,55,0
College of Arts and Sciences,BLY,A,15098,BLY214,802,FULLY ONLINE SECTION. This course is offered via Internet,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,15098,BLY214,802,only and has no scheduled times. USAonline courses are,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,15098,BLY214,802,offered in Canvas.,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,15101,BLY214,803,Lab Studies Microbiology,1,1.0,TBA,TBA  TBA,WEB WEB,,W,WO,C,T Hamil,Y,100,,,,55,0
College of Arts and Sciences,BLY,A,15101,BLY214,803,FULLY ONLINE SECTION. This course is offered via Internet,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,15101,BLY214,803,only and has no scheduled times. USAonline courses are,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,15101,BLY214,803,offered in Canvas.,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,15099,BLY214,804,Lab Studies Microbiology,1,1.0,TBA,TBA  TBA,WEB WEB,,W,WO,C,T Hamil,Y,100,,,,55,0
College of Arts and Sciences,BLY,A,15099,BLY214,804,FULLY ONLINE SECTION. This course is offered via Internet,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,15099,BLY214,804,only and has no scheduled times. USAonline courses are,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,15099,BLY214,804,offered in Canvas.,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,11239,BLY301,101,Cell Biology,1,3.0,MWF,1430  1520,LSLH 0003,,LE,WE,C,T Sherman,Y,100,,,,105,0
College of Arts and Sciences,BLY,A,11239,BLY301,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,11239,BLY301,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,11478,BLY302,101,Genetics,1,3.0,MWF,1115  1205,LSLH 0003,,LE,WE,C,J Strickland,Y,100,,,,95,0
College of Arts and Sciences,BLY,A,11478,BLY302,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,11478,BLY302,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,17268,BLY302,802,Genetics,1,3.0,TBA,TBA  TBA,WEB WEB,,W,WO,C,S Ní Chadhain,Y,100,,,,50,0
College of Arts and Sciences,BLY,A,17268,BLY302,802,FULLY ONLINE SECTION.  This course is offered via,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,17268,BLY302,802,Internet only and has no scheduled  times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,17268,BLY302,802,USA online courses are offered in Canvas.,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,11536,BLY303,101,Ecology and Evolution,1,3.0,TR,1530  1645,LSLH 0003,,LE,WE,C,J Henning,Y,100,,,,80,0
College of Arts and Sciences,BLY,A,11536,BLY303,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,11536,BLY303,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,12267,BLY314,101,Molecular Microbiology - W,1,4.0,TR,0800  0915,LSCB 0131,O,CE,WE,C,S Ní Chadhain,Y,100,,,,15,0
College of Arts and Sciences,BLY,A,12267,BLY314,101,Molecular Microbiology - W,1,4.0,W,1115  1345,LSCB 0219,,CE,WE,C,S Ní Chadhain,Y,100,,,,15,0
College of Arts and Sciences,BLY,A,12267,BLY314,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,12267,BLY314,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10309,BLY332,101,Biology of Algae,1,4.0,M,1220  1450,LSCB 0211,,CE,WE,C,K Major,Y,100,,,,16,0
College of Arts and Sciences,BLY,A,10309,BLY332,101,Biology of Algae,1,4.0,MWF,0905  0955,LSCB 0211,,CE,WE,C,K Major,Y,100,,,,16,0
College of Arts and Sciences,BLY,A,10309,BLY332,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10309,BLY332,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,16988,BLY333,101,Biomedical Ethics - W,1,3.0,TR,1230  1345,HUMB 0112,O,LE,WE,C,P McElroy,Y,100,,,,15,0
College of Arts and Sciences,BLY,A,16988,BLY333,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,16988,BLY333,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,16989,BLY333,102,Biomedical Ethics - W,1,3.0,TR,1100  1215,HUMB 0148,O,LE,WE,C,P McElroy,Y,100,,,,15,0
College of Arts and Sciences,BLY,A,16989,BLY333,102,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,16989,BLY333,102,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,11593,BLY350,101,Human Physiology,1,3.0,TR,1100  1215,LSCB 0131,,LE,WE,C,E Itza,Y,100,,,,35,0
College of Arts and Sciences,BLY,A,11593,BLY350,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,11593,BLY350,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,17275,BLY352,101,Vertebrate Ecology - W,1,4.0,TR,1400  1515,LSCB 0018,,CE,WE,C,J Borden,Y,100,,,,12,0
College of Arts and Sciences,BLY,A,17275,BLY352,101,Vertebrate Ecology - W,1,4.0,W,1010  1310,LSCB 0139,,CE,WE,C,J Borden,Y,100,,,,12,0
College of Arts and Sciences,BLY,A,14201,BLY354,101,General Entomology,1,4.0,T,1430  1700,LSCB 0139,,CE,WE,C,J McCreadie,Y,100,,,,12,0
College of Arts and Sciences,BLY,A,14201,BLY354,101,General Entomology,1,4.0,TR,1100  1215,LSCB 0139,,CE,WE,C,J McCreadie,Y,100,,,,12,0
College of Arts and Sciences,BLY,A,14201,BLY354,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,14201,BLY354,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,15747,BLY360,501,Invertebrate Zoology,1,4.0,M,1800  2030,LSCB 0018,,CE,WE,C,R Moody,Y,100,,,,12,0
College of Arts and Sciences,BLY,A,15747,BLY360,501,Invertebrate Zoology,1,4.0,T,1800  2030,LSCB 0240,,CE,WE,C,R Moody,Y,100,,,,12,0
College of Arts and Sciences,BLY,A,15747,BLY360,501,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,15747,BLY360,501,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,14465,BLY411,101,Developmental Biology,1,3.0,MWF,1115  1205,LSCB 0018,,CE,WE,C,T Tran,Y,100,,,,12,0
College of Arts and Sciences,BLY,A,14465,BLY411,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,14465,BLY411,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,13561,BLY431,101,Plant Physiology - W,1,4.0,MWF,1115  1205,LSCB 0131,,CE,WE,C,T Sherman,Y,100,,22.00,ECPT,20,0
College of Arts and Sciences,BLY,A,13561,BLY431,101,Plant Physiology - W,1,4.0,T,1400  1700,LSCB 0237,,CE,WE,C,T Sherman,Y,100,,22.00,ECPT,20,0
College of Arts and Sciences,BLY,A,13561,BLY431,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,13561,BLY431,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,13562,BLY436,101,Animal Physiology - W,1,4.0,MWF,1220  1310,LSCB 0018,,CE,WE,C,J Perez,Y,100,,15.00,EBLY,12,0
College of Arts and Sciences,BLY,A,13562,BLY436,101,Animal Physiology - W,1,4.0,W,1400  1700,LSCB 0237,,CE,WE,C,J Perez,Y,100,,15.00,EBLY,12,0
College of Arts and Sciences,BLY,A,13562,BLY436,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,13562,BLY436,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10310,BLY440,101,Biochemistry I,1,3.0,TR,1230  1345,HUMB 0160,O,LE,WE,C,L Yet,Y,100,,,,35,0
College of Arts and Sciences,BLY,A,10310,BLY440,101,Cross-listed with CH 440.101. Credit cannot be received,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,10310,BLY440,101,for both BLY 440.101 and CH 440.101.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,10310,BLY440,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,10310,BLY440,101,scheduled times.,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,13028,BLY445,101,Computational Genetics-W,1,3.0,MWF,0905  0955,LSCB 0241,,CE,WE,C,STAFF,Y,100,,,,8,0
College of Arts and Sciences,BLY,A,13028,BLY445,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,13028,BLY445,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,11744,BLY459,101,General Parasitology,1,4.0,MWF,1010  1100,LSCB 0131,,CE,WE,C,J O'Brien,Y,100,,,,12,0
College of Arts and Sciences,BLY,A,11744,BLY459,101,General Parasitology,1,4.0,W,1430  1700,LSCB 0240,,CE,WE,C,J O'Brien,Y,100,,,,12,0
College of Arts and Sciences,BLY,A,11744,BLY459,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,11744,BLY459,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,13029,BLY484,101,Conservation Biology,1,3.0,TR,0800  0915,LSCB 0018,,LE,WE,C,J Henning,Y,100,,,,35,0
College of Arts and Sciences,BLY,A,13029,BLY484,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,13029,BLY484,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,14093,BLY490,104,Special Topics -Paleobotany,1,4.0,MWF,1010  1100,LSCB 0211,,LE,WE,C,D Stults,Y,100,,,,10,0
College of Arts and Sciences,BLY,A,14093,BLY490,104,Special Topics -Paleobotany,1,4.0,WF,1430  1600,LSCB 0211,,LE,WE,C,D Stults,Y,100,,,,10,0
College of Arts and Sciences,BLY,A,14093,BLY490,104,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,14093,BLY490,104,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,13520,BLY510,101,Prof in Science,1,3.0,T,1400  1630,LSCB 0211,,LE,WE,C,K Major,Y,100,,,,15,0
College of Arts and Sciences,BLY,A,13520,BLY510,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,13520,BLY510,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,14456,BLY511,101,Developmental Biology,1,3.0,MWF,1115  1205,LSCB 0018,O,LE,WE,C,T Tran,Y,100,,,,3,0
College of Arts and Sciences,BLY,A,14456,BLY511,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,14456,BLY511,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,14742,BLY520,101,Biometry,1,4.0,TR,1230  1400,LSCB 0139,,CE,WE,C,J McCreadie,Y,100,,15.00,ECPT,10,0
College of Arts and Sciences,BLY,A,14742,BLY520,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,14742,BLY520,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,17143,BLY536,101,Advanced Animal Physiology,1,3.0,MWF,1220  1310,LSCB 0018,O,LE,WE,C,J Perez,,,,,,5,0
College of Arts and Sciences,BLY,A,17143,BLY536,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,17143,BLY536,101,scheduled times.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,11105,BLY540,101,Biochemistry I,1,3.0,TR,1230  1345,HUMB 0160,O,LE,WE,C,L Yet,Y,100,,,,2,0
College of Arts and Sciences,BLY,A,11105,BLY540,101,BLY 540.101 is cross-listed with CH 540.101.  Credit cannot,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,11105,BLY540,101,be received for both BLY 540.101 and CH 440.101.,,,,,,,,,,,,,,,,,2
College of Arts and Sciences,BLY,A,11105,BLY540,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,3
College of Arts and Sciences,BLY,A,11105,BLY540,101,scheduled times.,,,,,,,,,,,,,,,,,4
College of Arts and Sciences,BLY,A,13519,BLY544,101,Molecular Biology,1,3.0,TR,1630  1745,LSCB 0131,,LE,WE,C,L Frost,Y,100,,,,10,0
College of Arts and Sciences,BLY,A,13519,BLY544,101,FACE-TO-FACE SECTION. This course meets on campus at the,,,,,,,,,,,,,,,,,1
College of Arts and Sciences,BLY,A,13519,BLY544,101,scheduled times.,,,,,,,,,,,,,,,,,2
